seed,step,firm_id,price,wage,capital,employees,max_employees,quality,marketing,profit,revenue,costs,inventory,production,sales,bankrupt
381637,2,0,47.54363824360496,44.705315581576194,74458.79430720146,15,15,0.3153374995163692,0.7286467758462798,7935.334707689053,8551.800619738411,616.4659120493579,0.0,179.8726587965469,179.87265879654686,False
381637,2,1,33.365788370476686,32.051278901316174,91982.11898229402,15,15,0.48177322032581255,0.6503144930634464,5281.373527864997,5921.844948628166,640.4714207631685,0.0,177.4825423836842,177.4825423836842,False
381637,2,2,43.76227154742439,32.204170212375935,111061.43442042255,20,20,0.5477241233396639,0.5357609849461762,9575.59043806717,10379.879679016063,804.2892409488925,0.0,237.18786324351504,237.18786324351498,False
381637,2,3,43.28022936718072,21.00847162250918,85198.00802814026,16,16,0.3021159115000547,0.7213661299417771,7540.938564510432,8175.817975408091,634.8794108976592,0.0,188.90422012429974,188.90422012429977,False
381637,2,4,80.9503214561128,41.0461689983919,70323.87881980649,9,9,0.29667008034267534,0.6949972772095715,8240.837888530694,8687.308579878449,446.47069134775404,0.0,107.31654209166138,107.31654209166138,False
381637,2,5,88.44018273620412,44.660886513346696,83061.91464026313,17,17,0.3827579455248383,0.5370331055977364,17310.74525440478,17995.58276248129,684.837508076507,0.0,203.47744888946926,203.47744888946917,False
381637,2,6,90.34989850006849,20.558144870500744,117995.74845648177,14,14,0.42176953717984766,0.4966870989459131,14307.015231057365,14906.576190404141,599.5609593467757,0.0,164.98719354281113,164.98719354281113,False
381637,2,7,65.24650000064169,32.27511885437986,93754.5473395333,20,20,0.43596974453024284,0.34010204930240345,14744.02572357205,15523.597244074555,779.571520502506,0.0,237.92229842094025,237.92229842094034,False
381637,2,8,40.3901375442545,13.362956558733506,64881.432742883335,13,13,0.5085997632923847,0.5511851083128669,5591.555444795922,6175.085139443412,583.5296946474904,0.0,152.8859646164245,152.8859646164245,False
381637,2,9,39.19277133155094,44.40190206762559,88060.90417133196,16,16,0.5739556668780716,0.6713700284421561,6799.603050265852,7491.608802229862,692.0057519640095,0.0,191.1477180027576,191.1477180027576,False
381637,3,0,52.29800206796546,49.17584713973382,82461.41419313927,16,16,0.3153374995163692,0.8286467758462798,9389.433440173541,10033.642948306993,644.2095081334514,0.0,191.8551866525889,191.85518665258888,False
381637,3,1,35.03407778900052,28.846151011184556,96767.73356971276,16,16,0.5317732203258125,0.6503144930634464,5947.153003597631,6625.986660542482,678.8336569448514,0.0,189.12975818712175,189.12975818712178,False
381637,3,2,48.138498702166835,35.42458723361353,120787.48735655197,21,21,0.597724123339664,0.4357609849461762,11169.969268035396,12018.531874235294,848.5626061998971,0.0,249.66569789793442,249.66569789793445,False
381637,3,3,47.6082523038988,23.1093187847601,93092.43763266264,17,17,0.3021159115000547,0.821366129941777,8887.28802386327,9549.035416554856,661.7473926915864,0.0,200.57521447332886,200.57521447332888,False
381637,3,4,89.04535360172409,38.9938605484723,79267.19930590097,10,10,0.3466700803426753,0.7949972772095715,10133.259091579272,10612.949035621592,479.6899440423204,0.0,119.18588232116478,119.18588232116477,False
381637,3,5,97.28420100982454,42.42784218767936,101792.70894970579,18,18,0.43275794552483826,0.5370331055977364,20194.495468820907,20917.57523749781,723.0797686769035,0.0,215.0151311350687,215.01513113506874,False
381637,3,6,99.38488835007534,22.61395935755082,134077.82540893613,15,15,0.42176953717984766,0.4966870989459131,16921.286342817617,17548.910889243147,627.6245464255285,0.0,176.5752437878534,176.57524378785342,False
381637,3,7,71.77115000070586,30.661362911660866,109357.69529697995,21,21,0.48596974453024283,0.4401020493024035,17047.036578591546,17865.86460153464,818.828022943093,0.0,248.92821978411843,248.9282197841184,False
381637,3,8,44.429151298679955,14.031104386670181,70569.70253539727,14,14,0.5585997632923847,0.6511851083128669,6684.70525392729,7305.41156390146,620.7063099741697,0.0,164.42833928539423,164.4283392853942,False
381637,3,9,43.112048464706035,48.84209227438816,94532.69482805597,16,16,0.6239556668780717,0.7713700284421561,7553.2641331141385,8255.73831633817,702.4741832240302,0.0,191.4949210334272,191.4949210334272,False
381637,4,0,57.52780227476202,54.0934318537072,91785.9789897909,17,17,0.3653374995163692,0.9286467758462797,11044.153138164605,11726.296515484115,682.1433773195093,0.0,203.83703273553616,203.83703273553613,False
